05:01:16 doubler_9060XT=6% game_9070XT=0%
05:01:19 doubler_9060XT=6% game_9070XT=0%
05:01:22 doubler_9060XT=6% game_9070XT=0%
05:01:25 doubler_9060XT=6% game_9070XT=0%
05:01:28 doubler_9060XT=7% game_9070XT=0%
05:01:31 doubler_9060XT=6% game_9070XT=0%
05:01:34 doubler_9060XT=6% game_9070XT=0%
05:01:37 doubler_9060XT=6% game_9070XT=0%
05:01:40 doubler_9060XT=6% game_9070XT=0%
05:01:43 doubler_9060XT=6% game_9070XT=0%
05:01:46 doubler_9060XT=6% game_9070XT=0%
05:01:49 doubler_9060XT=6% game_9070XT=0%
05:01:52 doubler_9060XT=6% game_9070XT=0%
05:01:55 doubler_9060XT=14% game_9070XT=11%
05:01:58 doubler_9060XT=16% game_9070XT=15%
05:02:01 doubler_9060XT=16% game_9070XT=15%
05:02:04 doubler_9060XT=15% game_9070XT=15%
05:02:07 doubler_9060XT=16% game_9070XT=15%
05:02:10 doubler_9060XT=15% game_9070XT=15%
05:02:13 doubler_9060XT=15% game_9070XT=15%
05:02:16 doubler_9060XT=10% game_9070XT=5%
05:02:19 doubler_9060XT=6% game_9070XT=0%
05:02:22 doubler_9060XT=17% game_9070XT=11%
05:02:25 doubler_9060XT=26% game_9070XT=28%
05:02:28 doubler_9060XT=27% game_9070XT=29%
05:02:31 doubler_9060XT=26% game_9070XT=27%
05:02:34 doubler_9060XT=27% game_9070XT=27%
05:02:37 doubler_9060XT=26% game_9070XT=27%
05:02:40 doubler_9060XT=26% game_9070XT=26%
05:02:43 doubler_9060XT=26% game_9070XT=27%
05:02:46 doubler_9060XT=17% game_9070XT=14%
05:02:49 doubler_9060XT=6% game_9070XT=0%
05:02:52 doubler_9060XT=7% game_9070XT=0%
05:02:55 doubler_9060XT=6% game_9070XT=0%
05:02:58 doubler_9060XT=6% game_9070XT=0%
05:03:01 doubler_9060XT=6% game_9070XT=0%
05:03:04 doubler_9060XT=6% game_9070XT=0%
05:03:07 doubler_9060XT=6% game_9070XT=0%
05:03:10 doubler_9060XT=6% game_9070XT=0%
05:03:13 doubler_9060XT=6% game_9070XT=0%
05:03:16 doubler_9060XT=6% game_9070XT=0%
05:03:19 doubler_9060XT=6% game_9070XT=0%
05:03:22 doubler_9060XT=6% game_9070XT=0%
